task,batch,config,model,prompt_version,run,n_items,n_scored,tp,fp,fn,tn,accuracy,precision,recall,f1,unparseable_rate,empty_rate,avg_completion_tokens
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,1,12,12,4,1,3,4,0.6666666666666666,0.8,0.5714285714285714,0.6666666666666666,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,2,12,12,4,1,3,4,0.6666666666666666,0.8,0.5714285714285714,0.6666666666666666,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,3,12,12,4,1,3,4,0.6666666666666666,0.8,0.5714285714285714,0.6666666666666666,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,4,12,12,4,1,3,4,0.6666666666666666,0.8,0.5714285714285714,0.6666666666666666,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,5,12,12,4,1,3,4,0.6666666666666666,0.8,0.5714285714285714,0.6666666666666666,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,6,12,12,4,1,3,4,0.6666666666666666,0.8,0.5714285714285714,0.6666666666666666,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,7,12,12,3,1,4,4,0.5833333333333334,0.75,0.42857142857142855,0.5454545454545454,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,8,12,12,4,2,3,3,0.5833333333333334,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,9,12,12,4,2,3,3,0.5833333333333334,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,10,12,12,4,1,3,4,0.6666666666666666,0.8,0.5714285714285714,0.6666666666666666,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,1,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,2,12,12,4,2,3,3,0.5833333333333334,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,3,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,4,12,12,5,3,2,2,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,5,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,6,12,12,4,4,3,1,0.4166666666666667,0.5,0.5714285714285714,0.5333333333333333,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,7,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,8,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,9,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,10,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,1,12,12,4,4,3,1,0.4166666666666667,0.5,0.5714285714285714,0.5333333333333333,0.0,0.0,2
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v3,2,12,12,5,4,2,1,0.5,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.0,0.0,2
