batch,version,file,question_id,response_id,answer
Batch5,v1,medical_questions_v1.txt,1,1,yes
Batch5,v1,medical_questions_v1.txt,1,2,no
Batch5,v1,medical_questions_v1.txt,1,3,no
Batch5,v1,medical_questions_v1.txt,1,4,no
Batch5,v1,medical_questions_v1.txt,1,5,no
Batch5,v1,medical_questions_v1.txt,1,6,no
Batch5,v1,medical_questions_v1.txt,1,7,yes
Batch5,v1,medical_questions_v1.txt,1,8,no
Batch5,v1,medical_questions_v1.txt,1,9,yes
Batch5,v1,medical_questions_v1.txt,1,10,yes
Batch5,v1,medical_questions_v1.txt,2,1,yes
Batch5,v1,medical_questions_v1.txt,2,2,yes
Batch5,v1,medical_questions_v1.txt,2,3,no
Batch5,v1,medical_questions_v1.txt,2,4,no
Batch5,v1,medical_questions_v1.txt,2,5,no
Batch5,v1,medical_questions_v1.txt,2,6,no
Batch5,v1,medical_questions_v1.txt,2,7,yes
Batch5,v1,medical_questions_v1.txt,2,8,yes
Batch5,v1,medical_questions_v1.txt,2,9,yes
Batch5,v1,medical_questions_v1.txt,2,10,yes
Batch5,v1,medical_questions_v1.txt,3,1,yes
Batch5,v1,medical_questions_v1.txt,3,2,no
Batch5,v1,medical_questions_v1.txt,3,3,yes
Batch5,v1,medical_questions_v1.txt,3,4,yes
Batch5,v1,medical_questions_v1.txt,3,5,no
Batch5,v1,medical_questions_v1.txt,3,6,no
Batch5,v1,medical_questions_v1.txt,3,7,yes
Batch5,v1,medical_questions_v1.txt,3,8,yes
Batch5,v1,medical_questions_v1.txt,3,9,yes
Batch5,v1,medical_questions_v1.txt,3,10,yes
Batch5,v1,medical_questions_v1.txt,4,1,no
Batch5,v1,medical_questions_v1.txt,4,2,no
Batch5,v1,medical_questions_v1.txt,4,3,no
Batch5,v1,medical_questions_v1.txt,4,4,no
Batch5,v1,medical_questions_v1.txt,4,5,no
Batch5,v1,medical_questions_v1.txt,4,6,no
Batch5,v1,medical_questions_v1.txt,4,7,no
Batch5,v1,medical_questions_v1.txt,4,8,no
Batch5,v1,medical_questions_v1.txt,4,9,no
Batch5,v1,medical_questions_v1.txt,4,10,no
Batch5,v1,medical_questions_v1.txt,5,1,yes
Batch5,v1,medical_questions_v1.txt,5,2,no
Batch5,v1,medical_questions_v1.txt,5,3,no
Batch5,v1,medical_questions_v1.txt,5,4,no
Batch5,v1,medical_questions_v1.txt,5,5,no
Batch5,v1,medical_questions_v1.txt,5,6,no
Batch5,v1,medical_questions_v1.txt,5,7,yes
Batch5,v1,medical_questions_v1.txt,5,8,yes
Batch5,v1,medical_questions_v1.txt,5,9,yes
Batch5,v1,medical_questions_v1.txt,5,10,yes
Batch5,v1,medical_questions_v1.txt,6,1,yes
Batch5,v1,medical_questions_v1.txt,6,2,yes
Batch5,v1,medical_questions_v1.txt,6,3,no
Batch5,v1,medical_questions_v1.txt,6,4,no
Batch5,v1,medical_questions_v1.txt,6,5,yes
Batch5,v1,medical_questions_v1.txt,6,6,yes
Batch5,v1,medical_questions_v1.txt,6,7,yes
Batch5,v1,medical_questions_v1.txt,6,8,yes
Batch5,v1,medical_questions_v1.txt,6,9,yes
Batch5,v1,medical_questions_v1.txt,6,10,yes
Batch5,v1,medical_questions_v1.txt,7,1,yes
Batch5,v1,medical_questions_v1.txt,7,2,no
Batch5,v1,medical_questions_v1.txt,7,3,no
Batch5,v1,medical_questions_v1.txt,7,4,no
Batch5,v1,medical_questions_v1.txt,7,5,no
Batch5,v1,medical_questions_v1.txt,7,6,no
Batch5,v1,medical_questions_v1.txt,7,7,yes
Batch5,v1,medical_questions_v1.txt,7,8,yes
Batch5,v1,medical_questions_v1.txt,7,9,yes
Batch5,v1,medical_questions_v1.txt,7,10,yes
Batch5,v1,medical_questions_v1.txt,8,1,yes
Batch5,v1,medical_questions_v1.txt,8,2,no
Batch5,v1,medical_questions_v1.txt,8,3,no
Batch5,v1,medical_questions_v1.txt,8,4,no
Batch5,v1,medical_questions_v1.txt,8,5,no
Batch5,v1,medical_questions_v1.txt,8,6,no
Batch5,v1,medical_questions_v1.txt,8,7,yes
Batch5,v1,medical_questions_v1.txt,8,8,no
Batch5,v1,medical_questions_v1.txt,8,9,yes
Batch5,v1,medical_questions_v1.txt,8,10,yes
Batch5,v1,medical_questions_v1.txt,9,1,yes
Batch5,v1,medical_questions_v1.txt,9,2,no
Batch5,v1,medical_questions_v1.txt,9,3,yes
Batch5,v1,medical_questions_v1.txt,9,4,yes
Batch5,v1,medical_questions_v1.txt,9,5,yes
Batch5,v1,medical_questions_v1.txt,9,6,yes
Batch5,v1,medical_questions_v1.txt,9,7,yes
Batch5,v1,medical_questions_v1.txt,9,8,yes
Batch5,v1,medical_questions_v1.txt,9,9,yes
Batch5,v1,medical_questions_v1.txt,9,10,yes
Batch5,v1,medical_questions_v1.txt,10,1,no
Batch5,v1,medical_questions_v1.txt,10,2,no
Batch5,v1,medical_questions_v1.txt,10,3,no
Batch5,v1,medical_questions_v1.txt,10,4,no
Batch5,v1,medical_questions_v1.txt,10,5,no
Batch5,v1,medical_questions_v1.txt,10,6,no
Batch5,v1,medical_questions_v1.txt,10,7,no
Batch5,v1,medical_questions_v1.txt,10,8,no
Batch5,v1,medical_questions_v1.txt,10,9,no
Batch5,v1,medical_questions_v1.txt,10,10,no
