Task,Batch,Config,Model,Prompt,Metric,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,Mean,Std
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,accuracy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.6416666666666666,0.040253824294970625
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,avg_completion_tokens,2,2,2,2,2,2,2,2,2,2,2,0.0
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,empty_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,f1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.6153846153846153,0.6153846153846153,0.6666666666666666,0.6442890442890442,0.04074922775461475
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,precision,0.8,0.8,0.8,0.8,0.8,0.8,0.75,0.6666666666666666,0.6666666666666666,0.8,0.7683333333333333,0.05580499557265641
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,recall,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5571428571428572,0.04517539514526256
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v1,unparseable_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,accuracy,0.5,0.5833333333333334,0.5,0.5833333333333334,0.5,0.4166666666666667,0.5,0.5,0.5,0.5,0.5083333333333333,0.047303851016462235
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,avg_completion_tokens,2,2,2,2,2,2,2,2,2,2,2,0.0
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,empty_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Batch1,doubled_budget,Qwen/Qwen3-VL-8B-Instruct,v2,f1,0.6250000000000001,0.6153846153846153,0.6250000000000001,0.6666666666666666,0.6250000000000001,0.5333333333333333,0.6250000000000001,0.6250000000000001,0.6250000000000001,0.6250000000000001,0.6190384615384616,0.0331259299272516
