batch,version,file,question_id,response_id,answer
Batch3,v5,medical_questions_v5.txt,1,1,yes
Batch3,v5,medical_questions_v5.txt,1,2,no
Batch3,v5,medical_questions_v5.txt,1,3,no
Batch3,v5,medical_questions_v5.txt,1,4,no
Batch3,v5,medical_questions_v5.txt,1,5,no
Batch3,v5,medical_questions_v5.txt,1,6,no
Batch3,v5,medical_questions_v5.txt,1,7,no
Batch3,v5,medical_questions_v5.txt,1,8,no
Batch3,v5,medical_questions_v5.txt,1,9,no
Batch3,v5,medical_questions_v5.txt,1,10,no
Batch3,v5,medical_questions_v5.txt,2,1,yes
Batch3,v5,medical_questions_v5.txt,2,2,yes
Batch3,v5,medical_questions_v5.txt,2,3,no
Batch3,v5,medical_questions_v5.txt,2,4,no
Batch3,v5,medical_questions_v5.txt,2,5,yes
Batch3,v5,medical_questions_v5.txt,2,6,no
Batch3,v5,medical_questions_v5.txt,2,7,no
Batch3,v5,medical_questions_v5.txt,2,8,no
Batch3,v5,medical_questions_v5.txt,2,9,no
Batch3,v5,medical_questions_v5.txt,2,10,no
Batch3,v5,medical_questions_v5.txt,3,1,no
Batch3,v5,medical_questions_v5.txt,3,2,yes
Batch3,v5,medical_questions_v5.txt,3,3,yes
Batch3,v5,medical_questions_v5.txt,3,4,no
Batch3,v5,medical_questions_v5.txt,3,5,yes
Batch3,v5,medical_questions_v5.txt,3,6,no
Batch3,v5,medical_questions_v5.txt,3,7,no
Batch3,v5,medical_questions_v5.txt,3,8,no
Batch3,v5,medical_questions_v5.txt,3,9,no
Batch3,v5,medical_questions_v5.txt,3,10,yes
Batch3,v5,medical_questions_v5.txt,4,1,no
Batch3,v5,medical_questions_v5.txt,4,2,no
Batch3,v5,medical_questions_v5.txt,4,3,no
Batch3,v5,medical_questions_v5.txt,4,4,no
Batch3,v5,medical_questions_v5.txt,4,5,yes
Batch3,v5,medical_questions_v5.txt,4,6,no
Batch3,v5,medical_questions_v5.txt,4,7,no
Batch3,v5,medical_questions_v5.txt,4,8,no
Batch3,v5,medical_questions_v5.txt,4,9,no
Batch3,v5,medical_questions_v5.txt,4,10,no
Batch3,v5,medical_questions_v5.txt,5,1,yes
Batch3,v5,medical_questions_v5.txt,5,2,yes
Batch3,v5,medical_questions_v5.txt,5,3,no
Batch3,v5,medical_questions_v5.txt,5,4,no
Batch3,v5,medical_questions_v5.txt,5,5,yes
Batch3,v5,medical_questions_v5.txt,5,6,no
Batch3,v5,medical_questions_v5.txt,5,7,no
Batch3,v5,medical_questions_v5.txt,5,8,no
Batch3,v5,medical_questions_v5.txt,5,9,no
Batch3,v5,medical_questions_v5.txt,5,10,no
Batch3,v5,medical_questions_v5.txt,6,1,no
Batch3,v5,medical_questions_v5.txt,6,2,yes
Batch3,v5,medical_questions_v5.txt,6,3,yes
Batch3,v5,medical_questions_v5.txt,6,4,yes
Batch3,v5,medical_questions_v5.txt,6,5,yes
Batch3,v5,medical_questions_v5.txt,6,6,yes
Batch3,v5,medical_questions_v5.txt,6,7,yes
Batch3,v5,medical_questions_v5.txt,6,8,yes
Batch3,v5,medical_questions_v5.txt,6,9,no
Batch3,v5,medical_questions_v5.txt,6,10,yes
Batch3,v5,medical_questions_v5.txt,7,1,no
Batch3,v5,medical_questions_v5.txt,7,2,no
Batch3,v5,medical_questions_v5.txt,7,3,no
Batch3,v5,medical_questions_v5.txt,7,4,no
Batch3,v5,medical_questions_v5.txt,7,5,no
Batch3,v5,medical_questions_v5.txt,7,6,no
Batch3,v5,medical_questions_v5.txt,7,7,no
Batch3,v5,medical_questions_v5.txt,7,8,no
Batch3,v5,medical_questions_v5.txt,7,9,no
Batch3,v5,medical_questions_v5.txt,7,10,no
Batch3,v5,medical_questions_v5.txt,8,1,yes
Batch3,v5,medical_questions_v5.txt,8,2,yes
Batch3,v5,medical_questions_v5.txt,8,3,no
Batch3,v5,medical_questions_v5.txt,8,4,no
Batch3,v5,medical_questions_v5.txt,8,5,yes
Batch3,v5,medical_questions_v5.txt,8,6,yes
Batch3,v5,medical_questions_v5.txt,8,7,yes
Batch3,v5,medical_questions_v5.txt,8,8,no
Batch3,v5,medical_questions_v5.txt,8,9,no
Batch3,v5,medical_questions_v5.txt,8,10,yes
Batch3,v5,medical_questions_v5.txt,9,1,yes
Batch3,v5,medical_questions_v5.txt,9,2,yes
Batch3,v5,medical_questions_v5.txt,9,3,no
Batch3,v5,medical_questions_v5.txt,9,4,no
Batch3,v5,medical_questions_v5.txt,9,5,no
Batch3,v5,medical_questions_v5.txt,9,6,no
Batch3,v5,medical_questions_v5.txt,9,7,no
Batch3,v5,medical_questions_v5.txt,9,8,no
Batch3,v5,medical_questions_v5.txt,9,9,no
Batch3,v5,medical_questions_v5.txt,9,10,no
Batch3,v5,medical_questions_v5.txt,10,1,yes
Batch3,v5,medical_questions_v5.txt,10,2,yes
Batch3,v5,medical_questions_v5.txt,10,3,yes
Batch3,v5,medical_questions_v5.txt,10,4,no
Batch3,v5,medical_questions_v5.txt,10,5,yes
Batch3,v5,medical_questions_v5.txt,10,6,yes
Batch3,v5,medical_questions_v5.txt,10,7,yes
Batch3,v5,medical_questions_v5.txt,10,8,yes
Batch3,v5,medical_questions_v5.txt,10,9,no
Batch3,v5,medical_questions_v5.txt,10,10,yes
